Alabama A & M University,Normal,AL,www.aamu.edu/,galileo.aamu.edu/netpricecalculator/npcalc.htm,13415,NULL,12683,13292,16104,16944,15416,NULL,NULL,NULL,NULL,NULL,4051,0.0279,0.9501,0.0089,0.0022,0.6314,NULL,0.5,NULL,410,400,NULL,0.308718313,NULL,0
University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,www.collegeportraits.org/AL/UAB/estimator/agree,14805,NULL,12361,13765,16670,17096,17291,NULL,NULL,NULL,NULL,NULL,11200,0.5987,0.259,0.0258,0.0518,0.8016,NULL,0.5,NULL,580,585,NULL,0.508549808,NULL,0
Amridge University,Montgomery,AL,www.amridgeuniversity.edu,tcc.noellevitz.com/(S(miwoihs5stz5cpyifh4nczu0))/Amridge%20University/Freshman-Students,NULL,7455,NULL,NULL,NULL,NULL,NULL,6736,9974,NULL,NULL,NULL,322,0.2919,0.4224,0.0093,0.0031,0.375,NULL,0.3333,NULL,NULL,NULL,NULL,NULL,NULL,0
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,finaid.uah.edu/,17520,NULL,14652,16334,19016,20263,20306,NULL,NULL,NULL,NULL,NULL,5525,0.7012,0.131,0.0338,0.0364,0.8098,NULL,0.4444,NULL,575,580,NULL,0.478211346,NULL,0
Alabama State University,Montgomery,AL,www.alasu.edu/email/index.aspx,www.alasu.edu/cost-aid/forms/calculator/index.aspx/,11936,NULL,12342,10811,11362,13079,2948,NULL,NULL,NULL,NULL,NULL,5354,0.0161,0.9285,0.0114,0.0015,0.6219,NULL,0.3023,NULL,430,425,NULL,0.257481955,NULL,0
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,oira.ua.edu,20916,NULL,17206,19960,21363,23115,23748,NULL,NULL,NULL,NULL,NULL,28692,0.7865,0.114,0.0313,0.0112,0.87,NULL,0.6563,NULL,555,570,540,0.666009354,NULL,0
Central Alabama Community College,Alexander City,AL,www.cacc.edu,www.cacc.edu/graphics/netpricecalculator/npcalc.htm,6407,NULL,6330,6032,7802,10512,NULL,NULL,NULL,NULL,NULL,NULL,1779,0.6785,0.2945,0.0118,0.0022,NULL,0.4267,NULL,0.4159,NULL,NULL,NULL,NULL,0.289189362,0
Athens State University,Athens,AL,www.athens.edu,24.athens.edu/apex/prod8/f?p=174:1:3941357449598491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2999,0.7513,0.1064,0.0213,0.0047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Auburn University at Montgomery,Montgomery,AL,www.aum.edu,www.aum.edu/admissions/financial-information/price-estimator-calculator,11915,NULL,9044,11037,14542,15537,15579,NULL,NULL,NULL,NULL,NULL,4322,0.5532,0.3031,0.0079,0.0245,0.6321,NULL,0.4545,NULL,NULL,NULL,NULL,0.285309228,NULL,0
Auburn University,Auburn University,AL,www.auburn.edu,www.auburn.edu/admissions/money-matters.html,17541,NULL,13191,16272,18240,19276,20142,NULL,NULL,NULL,NULL,NULL,19761,0.8543,0.0714,0.0253,0.0213,0.8946,NULL,0.8529,NULL,570,595,565,0.680930242,NULL,0
Birmingham Southern College,Birmingham,AL,www.bsc.edu/,www.bsc.edu/fp/np-calculator.cfm,NULL,22994,NULL,NULL,NULL,NULL,NULL,15741,16300,20173,23001,27230,1181,0.8103,0.094,0.0305,0.039,0.8037,NULL,NULL,NULL,575,580,NULL,0.633327199,NULL,0
Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,external.cv.edu/npc/npcalc.htm,1873,NULL,1110,2223,3296,6215,5940,NULL,NULL,NULL,NULL,NULL,1769,0.4675,0.4409,0.0379,0.0136,NULL,0.5165,NULL,0.3293,NULL,NULL,NULL,NULL,0.239854244,0
Concordia College Alabama,Selma,AL,www.ccal.edu/,www.ccal.edu/netprice/netprice/,NULL,12686,NULL,NULL,NULL,NULL,NULL,11727,12333,15293,17505,NULL,523,0.0115,0.9388,0.0134,0.0038,0.4103,NULL,0,NULL,NULL,NULL,NULL,0.134843721,NULL,0
South University-Montgomery,Montgomery,AL,southuniversity.edu,tcc.noellevitz.com/edmc/Transfer-Students?iframe=true&width=600&height=1000,NULL,23152,NULL,NULL,NULL,NULL,NULL,22286,24475,28525,28525,26300,599,0.2988,0.6628,0.0117,0.0033,0.1935,NULL,0.1429,NULL,NULL,NULL,NULL,0.109872527,NULL,0
